,vacancy,link,company,city,salary_min,salary_max,salary_currency
53,Middle Data scientist (Промо Прогноз),https://hh.ru/vacancy/78128781?from=vacancy_search_list&query=data+scientist,"МАГНИТ, Розничная сеть",Краснодар,,,
54,Data Scientist в SberData,https://hh.ru/vacancy/83448921?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
55,Data Scientist,https://hh.ru/vacancy/83272352?from=vacancy_search_list&query=data+scientist,Pravo.Tech,Москва,,,
56,Data Scientist (офис г. Таганрог),https://hh.ru/vacancy/78928573?from=vacancy_search_list&query=data+scientist,Pudov,Таганрог,,,
57,Data Scientist NLP,https://hh.ru/vacancy/83351440?from=vacancy_search_list&query=data+scientist,Сбер. IT,Москва,,,
58,Middle Data scientist,https://hh.ru/vacancy/82975766?from=vacancy_search_list&query=data+scientist,АО Страховая компания Freedom Finance Insurance,Алматы,,700000.0,₸
59,Data Scientist (команда Поиска),https://hh.ru/vacancy/83116089?from=vacancy_search_list&query=data+scientist,ООО HeadHunter::Analytics/Data Science,"Москва, Алексеевская",350000.0,,₽
60,"Data Scientist (GPT,Т5,ВERT)",https://hh.ru/vacancy/82242843?from=vacancy_search_list&query=data+scientist,"Юнити,ООО",Санкт-Петербург,,,
61,Data Scientist (Middle),https://hh.ru/vacancy/81543934?from=vacancy_search_list&query=data+scientist,ООО Строительный Двор,"Москва, Улица 1905 года",,,
62,Data Scientist senior,https://hh.ru/vacancy/83358230?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
63,Head Data Scientist,https://hh.ru/vacancy/82903246?from=vacancy_search_list&query=data+scientist,ООО Сеть Партнерств,Москва,350000.0,,₽
64,Data Scientist в R&D-команду SupportAI,https://hh.ru/vacancy/83084971?from=vacancy_search_list&query=data+scientist,Яндекс,Москва,,,
65,Data Scientist,https://hh.ru/vacancy/83102957?from=vacancy_search_list&query=data+scientist,ПАО «Газпром нефть» ИТ,Санкт-Петербург,,,
66,Data Scientist,https://hh.ru/vacancy/82993212?from=vacancy_search_list&query=data+scientist,Carcade Leasing,Москва,,,
67,Data Scientist,https://hh.ru/vacancy/82412025?from=vacancy_search_list&query=data+scientist,getmatch,Санкт-Петербург,,450000.0,₽
68,Middle Data Scientist,https://hh.ru/vacancy/83354591?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
69,Chief Data Scientist,https://hh.ru/vacancy/83298175?from=vacancy_search_list&query=data+scientist,Самокат (ООО Умное пространство),Москва,,,
70,Middle+/Senior Data Scientist в Блок Финансы,https://hh.ru/vacancy/83356757?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
